year,type,country,activity,sex,age,species,fatal_y_n
2023.0,Unprovoked,AUSTRALIA,Surfing,M,46,Large Predatory Sharks,Y
2022.0,Unprovoked,AUSTRALIA,Spearfishing,M,38,Large Predatory Sharks,N
2021.0,Unprovoked,USA,Surfing,M,25,Other Category,N
2021.0,Unprovoked,USA,Swimming,M,26,Small Sharks (Size-Based),N
2021.0,Unprovoked,USA,Surfing,M,14,Other Category,N
2021.0,Unprovoked,AUSTRALIA,Swimming,F,46,Other Category,N
2020.0,Unprovoked,USA,Swimming,M,17,Large Predatory Sharks,N
2020.0,Unprovoked,AUSTRALIA,Spearfishing,M,59,Other Category,N
2020.0,Unprovoked,NEW ZEALAND,Surfing,M,60,Large Predatory Sharks,N
2019.0,Unprovoked,PAPUA NEW GUINEA,Spearfishing,M,33,Other Category,Y
2019.0,Unprovoked,USA,Surfing,F,21,Other Category,N
2019.0,Unprovoked,AUSTRALIA,Surfing,M,50,Other Category,N
2017.0,Unprovoked,SOUTH AFRICA,Surfing,F,13,Large Predatory Sharks,N
2017.0,Unprovoked,USA,Surfing,M,19,Other Category,N
2017.0,Unprovoked,AUSTRALIA,Swimming,M,57,Other Category,N
2016.0,Unprovoked,SOUTH AFRICA,Spearfishing,M,43,Large Predatory Sharks,N
2016.0,Unprovoked,AUSTRALIA,Swimming,M,12,Other Named Sharks,N
2016.0,Unprovoked,AUSTRALIA,Spearfishing,M,31,Large Sharks (Size-Based),N
2015.0,Unprovoked,USA,Surfing,M,25,Large Predatory Sharks,N
2015.0,Unprovoked,USA,Swimming,M,10,Other Category,N
2014.0,Unprovoked,AUSTRALIA,Surfing,M,13,Other Category,N
2014.0,Provoked,AUSTRALIA,Surfing,M,20,Other Category,N
2014.0,Unprovoked,USA,Surfing,M,28,Large Sharks (Size-Based),N
2014.0,Unprovoked,SOUTH AFRICA,Surfing,M,20,Large Predatory Sharks,N
2014.0,Unprovoked,BAHAMAS,Spearfishing,M,42,Large Sharks (Size-Based),N
2013.0,Unprovoked,USA,Surfing,M,25,Large Predatory Sharks,N
2013.0,Unprovoked,USA,Surfing,M,45,Large Predatory Sharks,N
2013.0,Unprovoked,USA,Swimming,M,28,Large Predatory Sharks,N
2012.0,Unprovoked,USA,Surfing,M,14,Small Sharks (Size-Based),N
2012.0,Unprovoked,AUSTRALIA,Surfing,M,34,Other Category,N
2012.0,Provoked,USA,Fishing,M,23,Other Named Sharks,N
2012.0,Unprovoked,USA,Surfing,F,12,Other Category,N
2011.0,Unprovoked,USA,Surfing,M,19,Other Category,N
2011.0,Unprovoked,SOUTH AFRICA,Surfing,M,33,Large Predatory Sharks,N
2009.0,Unprovoked,AUSTRALIA,Spearfishing,M,18,Large Predatory Sharks,N
2009.0,Unprovoked,SOUTH AFRICA,Surfing,M,25,Large Predatory Sharks,Y
2008.0,Unprovoked,AUSTRALIA,Surfing,M,31,Large Predatory Sharks,N
2008.0,Unprovoked,BRAZIL,Surfing,M,14,Other Category,N
2008.0,Unprovoked,USA,Surfing,M,27,Large Predatory Sharks,N
2007.0,Unprovoked,AUSTRALIA,Surfing,M,31,Large Sharks (Size-Based),N
2007.0,Unprovoked,USA,Surfing,M,27,Small Sharks (Size-Based),N
2007.0,Unprovoked,USA,Swimming,M,68,Large Sharks (Size-Based),N
2005.0,Unprovoked,SOUTH AFRICA,Surfing,M,26,Other Category,N
2005.0,Unprovoked,AUSTRALIA,Swimming,M,18,Large Predatory Sharks,N
2002.0,Unprovoked,USA,Surfing,M,18,Small Sharks (Size-Based),N
2001.0,Provoked,USA,Spearfishing,M,52,Large Predatory Sharks,N
2000.0,Unprovoked,USA,Surfing,F,26,Other Category,N
2000.0,Unprovoked,USA,Swimming,M,47,Other Category,N
2000.0,Unprovoked,USA,Surfing,M,14,Other Category,N
1998.0,Unprovoked,USA,Swimming,F,14,Other Category,N
1992.0,Unprovoked,USA,Surfing,M,20,Large Predatory Sharks,N
1991.0,Unprovoked,USA,Surfing,M,32,Large Predatory Sharks,N
1990.0,Unprovoked,USA,Surfing,M,18,Other Category,N
1990.0,Unprovoked,USA,Surfing,M,43,Large Predatory Sharks,N
1986.0,Unprovoked,USA,Swimming,F,6,Other Named Sharks,N
1985.0,Provoked,SOUTH AFRICA,Spearfishing,M,39,Other Category,N
1985.0,Unprovoked,SOUTH AFRICA,Surfing,M,18,Large Predatory Sharks,N
1983.0,Unprovoked,SOUTH AFRICA,Swimming,M,47,Other Named Sharks,N
1982.0,Unprovoked,BAHAMAS,Spearfishing,M,19,Other Named Sharks,N
1980.0,Unprovoked,USA,Surfing,M,19,Large Predatory Sharks,N
1978.0,Unprovoked,USA,Surfing,M,17,Other Category,N
1975.0,Unprovoked,USA,Surfing,M,20,Other Category,N
1975.0,Unprovoked,AUSTRALIA,Surfing,M,17,Other Category,Y
1971.0,Unprovoked,SOUTH AFRICA,Surfing,M,21,Large Predatory Sharks,N
1968.0,Unprovoked,PAPUA NEW GUINEA,Swimming,M,7,Other Category,Y
1960.0,Provoked,AUSTRALIA,Spearfishing,M,20,Other Named Sharks,N
1954.0,Unprovoked,AUSTRALIA,Swimming,M,23,Other Category,Y
1953.0,Unprovoked,USA,Spearfishing,M,15,Large Sharks (Size-Based),Y
1952.0,Provoked,USA,Fishing,M,43,Small Sharks (Size-Based),N
1952.0,Provoked,USA,Fishing,M,34,Small Sharks (Size-Based),N
1949.0,Unprovoked,PAPUA NEW GUINEA,Spearfishing,M,18,Other Category,Y
1947.0,Unprovoked,USA,Swimming,M,20,Other Category,Y
1925.0,Unprovoked,AUSTRALIA,Swimming,M,16,Other Category,Y
1923.0,Unprovoked,AUSTRALIA,Swimming,M,13,Other Category,Y
2023.0,Unprovoked,USA,Surfing,M,21,Other Category,N
2023.0,Provoked,USA,Fishing,M,35,Other Category,N
2021.0,Unprovoked,USA,Surfing,M,58,Large Predatory Sharks,N
2021.0,Unprovoked,USA,Swimming,M,36,Other Category,N
2021.0,Unprovoked,USA,Swimming,M,7,Other Category,N
2021.0,Unprovoked,AUSTRALIA,Swimming,M,54,Large Predatory Sharks,N
2021.0,Unprovoked,USA,Surfing,M,19,Other Category,N
2020.0,Unprovoked,USA,Swimming,F,57,Small Sharks (Size-Based),N
2020.0,Unprovoked,AUSTRALIA,Swimming,M,23,Other Category,Y
2020.0,Unprovoked,NEW ZEALAND,Surfing,F,13,Other Category,N
2017.0,Unprovoked,AUSTRALIA,Surfing,M,31,Other Named Sharks,N
2016.0,Unprovoked,USA,Swimming,F,52,Other Category,N
2014.0,Unprovoked,AUSTRALIA,Swimming,F,63,Large Predatory Sharks,Y
2013.0,Provoked,USA,Surfing,M,43,Small Sharks (Size-Based),N
2011.0,Unprovoked,BRAZIL,Surfing,M,35,Other Category,N
2011.0,Unprovoked,USA,Surfing,M,37,Other Category,N
2011.0,Unprovoked,SOUTH AFRICA,Surfing,M,16,Other Category,Y
2010.0,Provoked,USA,Fishing,M,20,Large Predatory Sharks,N
2009.0,Unprovoked,USA,Surfing,M,54,Large Sharks (Size-Based),N
2009.0,Unprovoked,USA,Swimming,F,19,Other Category,N
2009.0,Unprovoked,USA,Swimming,M,61,Other Category,N
2008.0,Provoked,AUSTRALIA,Fishing,M,50,Other Category,N
2008.0,Unprovoked,USA,Surfing,M,40,Small Sharks (Size-Based),N
2007.0,Unprovoked,USA,Surfing,M,27,Small Sharks (Size-Based),N
2005.0,Unprovoked,USA,Surfing,M,37,Large Predatory Sharks,N
2005.0,Unprovoked,AUSTRALIA,Spearfishing,M,20,Large Sharks (Size-Based),N
2004.0,Unprovoked,AUSTRALIA,Spearfishing,M,30,Other Category,N
2004.0,Unprovoked,USA,Surfing,M,20,Large Predatory Sharks,N
2003.0,Unprovoked,USA,Surfing,M,12,Other Category,N
2001.0,Unprovoked,USA,Surfing,M,19,Small Sharks (Size-Based),N
2000.0,Unprovoked,USA,Surfing,M,37,Large Sharks (Size-Based),N
1999.0,Unprovoked,SOUTH AFRICA,Surfing,M,35,Large Predatory Sharks,N
1999.0,Unprovoked,SOUTH AFRICA,Surfing,M,42,Large Predatory Sharks,N
1998.0,Unprovoked,USA,Surfing,M,32,Large Predatory Sharks,N
1998.0,Unprovoked,SOUTH AFRICA,Surfing,M,17,Other Category,N
1998.0,Unprovoked,USA,Swimming,M,40,Other Category,N
1997.0,Unprovoked,USA,Surfing,M,20,Other Category,N
1996.0,Unprovoked,USA,Surfing,M,22,Large Predatory Sharks,N
1994.0,Unprovoked,BRAZIL,Surfing,M,15,Other Category,N
1992.0,Unprovoked,AUSTRALIA,Surfing,M,28,Large Predatory Sharks,Y
1992.0,Unprovoked,AUSTRALIA,Surfing,M,17,Large Predatory Sharks,N
1990.0,Unprovoked,AUSTRALIA,Surfing,M,31,Large Predatory Sharks,N
1989.0,Unprovoked,BAHAMAS,Spearfishing,F,31,Other Category,N
1986.0,Unprovoked,SOUTH AFRICA,Spearfishing,M,26,Large Sharks (Size-Based),N
1986.0,Unprovoked,SOUTH AFRICA,Spearfishing,M,29,Other Named Sharks,N
1985.0,Unprovoked,SOUTH AFRICA,Spearfishing,M,34,Large Predatory Sharks,N
1983.0,Unprovoked,USA,Surfing,M,15,Large Predatory Sharks,N
1982.0,Unprovoked,SOUTH AFRICA,Surfing,M,16,Large Predatory Sharks,N
1976.0,Unprovoked,USA,Swimming,M,16,Other Category,Y
1967.0,Provoked,AUSTRALIA,Spearfishing,M,36,Other Named Sharks,N
1966.0,Unprovoked,USA,Swimming,M,35,Large Predatory Sharks,N
1965.0,Unprovoked,MEXICO,Swimming,M,35,Other Category,N
1963.0,Unprovoked,SOUTH AFRICA,Swimming,M,18,Other Category,Y
1962.0,Unprovoked,AUSTRALIA,Spearfishing,M,16,Large Predatory Sharks,Y
1962.0,Unprovoked,AUSTRALIA,Swimming,M,35,Other Category,N
1961.0,Unprovoked,USA,Swimming,M,16,Large Predatory Sharks,N
1946.0,Watercraft,AUSTRALIA,Fishing,M,28,Other Category,N
1944.0,Unprovoked,SOUTH AFRICA,Swimming,M,26,Other Category,Y
1922.0,Unprovoked,SOUTH AFRICA,Swimming,M,18,Large Predatory Sharks,N
1920.0,Unprovoked,USA,Swimming,M,13,Other Category,N
2023.0,Unprovoked,USA,Spearfishing,M,22,Other Category,N
2022.0,Unprovoked,USA,Spearfishing,M,26,Other Category,N
2022.0,Unprovoked,USA,Surfing,M,20,Other Category,N
2021.0,Unprovoked,AUSTRALIA,Spearfishing,M,24,Large Predatory Sharks,N
2021.0,Unprovoked,BRAZIL,Surfing,M,52,Other Category,N
2018.0,Unprovoked,AUSTRALIA,Surfing,M,36,Other Category,N
2017.0,Unprovoked,USA,Surfing,F,35,Other Category,N
2017.0,Unprovoked,AUSTRALIA,Surfing,M,25,Large Sharks (Size-Based),N
2016.0,Unprovoked,USA,Surfing,M,41,Other Category,N
2016.0,Unprovoked,USA,Swimming,F,51,Large Predatory Sharks,N
2016.0,Unprovoked,USA,Swimming,M,64,Other Category,N
2015.0,Unprovoked,USA,Surfing,M,25,Small Sharks (Size-Based),N
2014.0,Unprovoked,USA,Surfing,M,29,Large Predatory Sharks,N
2013.0,Unprovoked,USA,Surfing,F,13,Small Sharks (Size-Based),N
2013.0,Unprovoked,USA,Fishing,M,17,Large Predatory Sharks,N
2012.0,Unprovoked,AUSTRALIA,Spearfishing,M,31,Large Predatory Sharks,N
2012.0,Unprovoked,USA,Surfing,M,37,Other Category,N
2011.0,Unprovoked,AUSTRALIA,Surfing,M,14,Other Named Sharks,N
2009.0,Unprovoked,BAHAMAS,Spearfishing,M,14,Large Predatory Sharks,N
2009.0,Unprovoked,SOUTH AFRICA,Surfing,M,16,Other Category,Y
2009.0,Unprovoked,USA,Surfing,F,17,Small Sharks (Size-Based),N
2008.0,Unprovoked,USA,Swimming,M,32,Small Sharks (Size-Based),N
2008.0,Unprovoked,USA,Surfing,M,19,Other Category,N
2008.0,Unprovoked,MEXICO,Surfing,M,24,Large Predatory Sharks,Y
2005.0,Unprovoked,USA,Surfing,M,16,Other Category,N
2003.0,Unprovoked,USA,Swimming,M,13,Other Category,N
2003.0,Unprovoked,USA,Surfing,M,46,Other Category,N
2003.0,Unprovoked,USA,Swimming,M,54,Other Category,N
2002.0,Unprovoked,USA,Surfing,M,28,Large Sharks (Size-Based),N
2001.0,Unprovoked,USA,Surfing,M,16,Other Category,N
2001.0,Unprovoked,USA,Swimming,M,14,Large Sharks (Size-Based),N
2000.0,Unprovoked,USA,Swimming,M,55,Large Predatory Sharks,N
1998.0,Unprovoked,BRAZIL,Surfing,M,17,Other Category,N
1994.0,Unprovoked,SOUTH AFRICA,Surfing,M,22,Large Predatory Sharks,Y
1994.0,Unprovoked,USA,Surfing,M,15,Small Sharks (Size-Based),N
1993.0,Unprovoked,USA,Swimming,F,26,Large Predatory Sharks,N
1987.0,Unprovoked,AUSTRALIA,Surfing,M,18,Large Predatory Sharks,N
1985.0,Provoked,SOUTH AFRICA,Spearfishing,M,20,Large Sharks (Size-Based),N
1983.0,Unprovoked,SOUTH AFRICA,Fishing,M,27,Other Named Sharks,N
1981.0,Unprovoked,USA,Surfing,M,24,Large Predatory Sharks,Y
1972.0,Unprovoked,USA,Surfing,M,17,Other Category,N
1963.0,Unprovoked,USA,Swimming,M,25,Large Sharks (Size-Based),Y
1961.0,Provoked,AUSTRALIA,Spearfishing,M,23,Other Named Sharks,N
1950.0,Unprovoked,AUSTRALIA,Fishing,M,25,Small Sharks (Size-Based),N
1947.0,Unprovoked,BRAZIL,Swimming,M,25,Other Category,Y
1938.0,Provoked,AUSTRALIA,Fishing,M,18,Large Predatory Sharks,N
1934.0,Unprovoked,USA,Swimming,M,11,Other Category,N
1930.0,Unprovoked,SOUTH AFRICA,Swimming,M,23,Large Predatory Sharks,N
1870.0,Unprovoked,AUSTRALIA,Fishing,M,13,Other Category,N
2023.0,Unprovoked,USA,Swimming,M,47,Other Category,N
2022.0,Provoked,USA,Fishing,M,29,Other Category,N
2019.0,Unprovoked,USA,Surfing,M,18,Large Predatory Sharks,N
2019.0,Unprovoked,AUSTRALIA,Swimming,M,25,Small Sharks (Size-Based),N
2018.0,Unprovoked,USA,Swimming,M,10,Other Category,N
2017.0,Unprovoked,USA,Swimming,M,13,Large Predatory Sharks,N
2017.0,Unprovoked,USA,Swimming,M,46,Large Predatory Sharks,N
2017.0,Provoked,MEXICO,Fishing,M,32,Large Predatory Sharks,N
2017.0,Unprovoked,USA,Swimming,F,16,Other Category,N
2016.0,Unprovoked,USA,Surfing,F,9,Other Category,N
2016.0,Provoked,AUSTRALIA,Spearfishing,M,19,Small Sharks (Size-Based),N
2016.0,Unprovoked,USA,Swimming,M,48,Large Predatory Sharks,N
2015.0,Unprovoked,AUSTRALIA,Surfing,M,40,Large Predatory Sharks,N
2014.0,Unprovoked,AUSTRALIA,Spearfishing,M,17,Large Predatory Sharks,Y
2014.0,Unprovoked,USA,Surfing,M,21,Other Category,N
2009.0,Unprovoked,AUSTRALIA,Surfing,M,31,Large Predatory Sharks,N
2007.0,Unprovoked,USA,Swimming,F,15,Other Category,N
2007.0,Unprovoked,USA,Swimming,M,14,Small Sharks (Size-Based),N
2007.0,Unprovoked,USA,Surfing,M,24,Small Sharks (Size-Based),N
2006.0,Unprovoked,AUSTRALIA,Surfing,M,15,Large Predatory Sharks,N
2006.0,Unprovoked,USA,Surfing,F,28,Large Predatory Sharks,N
2005.0,Unprovoked,USA,Surfing,M,17,Other Category,N
2004.0,Unprovoked,USA,Surfing,F,28,Other Category,N
2004.0,Unprovoked,NEW ZEALAND,Surfing,M,15,Large Sharks (Size-Based),N
2003.0,Unprovoked,USA,Surfing,M,24,Other Category,N
2002.0,Unprovoked,BRAZIL,Surfing,M,19,Other Category,Y
2002.0,Unprovoked,USA,Surfing,M,15,Other Named Sharks,N
2002.0,Unprovoked,USA,Surfing,M,13,Large Sharks (Size-Based),N
2002.0,Unprovoked,AUSTRALIA,Surfing,M,30,Other Category,N
2001.0,Unprovoked,USA,Surfing,M,14,Other Category,N
2001.0,Unprovoked,USA,Surfing,M,22,Other Category,N
2000.0,Unprovoked,AUSTRALIA,Swimming,M,49,Large Predatory Sharks,Y
1997.0,Unprovoked,USA,Surfing,M,23,Large Predatory Sharks,N
1994.0,Unprovoked,USA,Surfing,M,28,Large Sharks (Size-Based),N
1989.0,Unprovoked,AUSTRALIA,Surfing,M,17,Large Predatory Sharks,N
1989.0,Unprovoked,AUSTRALIA,Surfing,M,27,Large Predatory Sharks,Y
1987.0,Unprovoked,USA,Surfing,M,15,Other Category,N
1984.0,Unprovoked,SOUTH AFRICA,Surfing,M,27,Large Predatory Sharks,N
1981.0,Unprovoked,USA,Swimming,M,19,Large Sharks (Size-Based),N
1974.0,Unprovoked,USA,Surfing,M,17,Large Predatory Sharks,N
1974.0,Unprovoked,USA,Surfing,M,24,Large Predatory Sharks,N
1963.0,Unprovoked,AUSTRALIA,Spearfishing,M,18,Large Predatory Sharks,N
1958.0,Provoked,USA,Spearfishing,M,20,Other Category,N
1916.0,Unprovoked,USA,Swimming,M,12,Other Category,N
1902.0,Unprovoked,AUSTRALIA,Swimming,M,17,Other Category,Y
1902.0,Unprovoked,AUSTRALIA,Swimming,M,16,Other Category,N
1848.0,Unprovoked,USA,Swimming,M,15,Other Category,N
2023.0,Unprovoked,USA,Spearfishing,M,22,Other Category,N
2022.0,Unprovoked,USA,Swimming,F,10,Other Category,N
2022.0,Unprovoked,AUSTRALIA,Surfing,M,14,Other Category,N
2021.0,Unprovoked,USA,Swimming,F,12,Large Predatory Sharks,N
2020.0,Unprovoked,USA,Surfing,M,15,Other Category,N
2019.0,Unprovoked,USA,Surfing,M,13,Other Category,N
2019.0,Unprovoked,USA,Surfing,M,20,Other Category,N
2019.0,Unprovoked,USA,Swimming,M,58,Other Category,N
2018.0,Unprovoked,AUSTRALIA,Swimming,F,46,Other Category,N
2018.0,Provoked,USA,Fishing,M,52,Other Named Sharks,N
2018.0,Unprovoked,BRAZIL,Surfing,M,20,Small Sharks (Size-Based),N
2017.0,Unprovoked,USA,Surfing,F,33,Other Category,N
2017.0,Unprovoked,USA,Surfing,M,28,Large Predatory Sharks,N
2016.0,Provoked,AUSTRALIA,Fishing,M,73,Large Sharks (Size-Based),N
2016.0,Unprovoked,USA,Surfing,M,21,Other Category,N
2016.0,Unprovoked,USA,Fishing,M,34,Small Sharks (Size-Based),N
2015.0,Unprovoked,AUSTRALIA,Surfing,M,43,Large Predatory Sharks,N
2015.0,Provoked,AUSTRALIA,Swimming,M,19,Other Named Sharks,N
2014.0,Unprovoked,AUSTRALIA,Swimming,M,50,Large Sharks (Size-Based),Y
2014.0,Unprovoked,AUSTRALIA,Surfing,M,42,Other Category,N
2013.0,Unprovoked,USA,Surfing,M,16,Large Predatory Sharks,N
2012.0,Unprovoked,USA,Surfing,M,52,Other Category,N
2012.0,Unprovoked,USA,Surfing,M,61,Large Predatory Sharks,N
2011.0,Unprovoked,USA,Swimming,M,12,Other Category,N
2010.0,Unprovoked,SOUTH AFRICA,Swimming,M,29,Large Predatory Sharks,Y
2006.0,Provoked,SOUTH AFRICA,Fishing,M,25,Other Named Sharks,N
2006.0,Unprovoked,USA,Spearfishing,M,26,Large Predatory Sharks,N
2006.0,Unprovoked,BRAZIL,Swimming,M,35,Large Predatory Sharks,N
2004.0,Unprovoked,BRAZIL,Swimming,M,17,Large Predatory Sharks,N
2004.0,Unprovoked,BRAZIL,Swimming,M,29,Other Category,Y
2004.0,Unprovoked,SOUTH AFRICA,Surfing,M,22,Other Named Sharks,N
2003.0,Unprovoked,USA,Surfing,M,16,Other Category,N
2002.0,Unprovoked,USA,Surfing,M,27,Large Sharks (Size-Based),N
2001.0,Unprovoked,USA,Surfing,M,32,Other Category,N
2000.0,Unprovoked,USA,Surfing,M,23,Large Predatory Sharks,N
2000.0,Unprovoked,USA,Spearfishing,M,39,Large Predatory Sharks,N
1998.0,Unprovoked,SOUTH AFRICA,Spearfishing,M,24,Large Predatory Sharks,N
1998.0,Unprovoked,SOUTH AFRICA,Surfing,M,28,Other Category,Y
1997.0,Unprovoked,BAHAMAS,Spearfishing,M,54,Other Category,N
1996.0,Unprovoked,USA,Surfing,M,26,Other Category,N
1996.0,Unprovoked,USA,Swimming,M,9,Other Category,N
1995.0,Unprovoked,USA,Swimming,M,16,Large Sharks (Size-Based),N
1994.0,Unprovoked,SOUTH AFRICA,Surfing,M,31,Large Predatory Sharks,N
1990.0,Provoked,BAHAMAS,Fishing,M,51,Other Category,N
1984.0,Unprovoked,USA,Surfing,M,16,Large Predatory Sharks,N
1983.0,Unprovoked,BAHAMAS,Spearfishing,M,13,Other Category,N
1982.0,Unprovoked,USA,Surfing,M,20,Large Sharks (Size-Based),N
1981.0,Unprovoked,USA,Surfing,M,24,Other Category,N
1981.0,Unprovoked,SOUTH AFRICA,Surfing,M,27,Other Named Sharks,N
1981.0,Unprovoked,USA,Surfing,M,24,Other Category,N
1978.0,Unprovoked,USA,Surfing,M,17,Other Category,N
1966.0,Provoked,USA,Fishing,M,20,Other Category,N
1961.0,Unprovoked,AUSTRALIA,Swimming,M,24,Large Sharks (Size-Based),N
1955.0,Provoked,USA,Surfing,M,25,Large Predatory Sharks,N
1951.0,Unprovoked,SOUTH AFRICA,Swimming,M,23,Large Predatory Sharks,N
1946.0,Unprovoked,AUSTRALIA,Swimming,M,17,Other Category,Y
1929.0,Unprovoked,AUSTRALIA,Swimming,M,39,Other Category,Y
1916.0,Unprovoked,USA,Swimming,M,24,Large Predatory Sharks,Y
1888.0,Unprovoked,AUSTRALIA,Swimming,M,11,Other Category,Y
2023.0,Unprovoked,USA,Swimming,F,26,Other Category,N
2023.0,Unprovoked,AUSTRALIA,Surfing,M,30,Large Predatory Sharks,N
2022.0,Provoked,USA,Fishing,M,21,Large Predatory Sharks,N
2021.0,Unprovoked,AUSTRALIA,Swimming,M,15,Other Category,N
2021.0,Unprovoked,USA,Surfing,M,17,Other Category,N
2020.0,Unprovoked,AUSTRALIA,Surfing,M,60,Large Predatory Sharks,Y
2018.0,Unprovoked,BRAZIL,Swimming,M,18,Large Predatory Sharks,Y
2016.0,Unprovoked,AUSTRALIA,Surfing,M,36,Other Category,N
2016.0,Unprovoked,USA,Surfing,M,43,Other Category,N
2016.0,Unprovoked,USA,Swimming,F,57,Other Category,N
2015.0,Unprovoked,SOUTH AFRICA,Surfing,M,15,Other Named Sharks,N
2014.0,Unprovoked,BRAZIL,Fishing,M,43,Other Category,N
2012.0,Unprovoked,SOUTH AFRICA,Surfing,M,29,Small Sharks (Size-Based),N
2010.0,Provoked,USA,Fishing,M,49,Other Named Sharks,N
2010.0,Unprovoked,SOUTH AFRICA,Surfing,M,35,Large Sharks (Size-Based),N
2009.0,Unprovoked,USA,Surfing,M,18,Small Sharks (Size-Based),N
