year,type,country,activity,sex,age,species,fatal_y_n
2009.0,Unprovoked,AUSTRALIA,Surfing,M,15,Large Sharks (Size-Based),N
2006.0,Unprovoked,USA,Surfing,M,19,Other Category,N
2006.0,Unprovoked,USA,Swimming,M,55,Other Category,N
2005.0,Unprovoked,USA,Surfing,F,20,Large Predatory Sharks,N
2005.0,Unprovoked,USA,Surfing,M,37,Other Category,N
2003.0,Unprovoked,USA,Surfing,M,19,Large Sharks (Size-Based),N
2003.0,Provoked,USA,Surfing,M,34,Small Sharks (Size-Based),N
2002.0,Unprovoked,USA,Surfing,M,35,Large Sharks (Size-Based),N
2000.0,Unprovoked,USA,Swimming,M,73,Large Sharks (Size-Based),N
1999.0,Unprovoked,BRAZIL,Surfing,M,21,Large Predatory Sharks,N
1998.0,Unprovoked,USA,Surfing,M,14,Large Sharks (Size-Based),N
1998.0,Unprovoked,USA,Surfing,M,13,Other Category,N
1997.0,Unprovoked,USA,Surfing,M,12,Large Sharks (Size-Based),N
1996.0,Unprovoked,USA,Swimming,M,46,Other Category,N
1984.0,Unprovoked,SOUTH AFRICA,Surfing,M,14,Other Category,N
1995.0,Unprovoked,USA,Swimming,M,38,Large Predatory Sharks,N
1995.0,Unprovoked,BRAZIL,Surfing,M,17,Other Category,N
1990.0,Unprovoked,AUSTRALIA,Swimming,M,26,Large Sharks (Size-Based),N
1989.0,Unprovoked,AUSTRALIA,Surfing,M,17,Large Predatory Sharks,N
1988.0,Unprovoked,USA,Surfing,M,25,Large Sharks (Size-Based),N
1984.0,Unprovoked,USA,Surfing,M,13,Large Sharks (Size-Based),N
1984.0,Unprovoked,SOUTH AFRICA,Swimming,M,14,Other Named Sharks,N
1982.0,Unprovoked,SOUTH AFRICA,Surfing,M,16,Other Category,N
1982.0,Unprovoked,USA,Swimming,M,17,Large Sharks (Size-Based),N
1981.0,Unprovoked,SOUTH AFRICA,Surfing,M,19,Other Named Sharks,N
1977.0,Unprovoked,USA,Surfing,M,27,Other Category,N
1973.0,Unprovoked,AUSTRALIA,Surfing,M,16,Large Sharks (Size-Based),N
1968.0,Unprovoked,AUSTRALIA,Spearfishing,M,26,Large Predatory Sharks,N
1965.0,Unprovoked,AUSTRALIA,Surfing,M,24,Other Named Sharks,N
1947.0,Provoked,USA,Fishing,M,46,Small Sharks (Size-Based),N
1942.0,Unprovoked,SOUTH AFRICA,Swimming,M,38,Other Category,N
1930.0,Unprovoked,AUSTRALIA,Fishing,M,17,Other Category,N
1926.0,Unprovoked,USA,Swimming,M,18,Other Category,Y
1919.0,Unprovoked,AUSTRALIA,Swimming,M,47,Other Category,Y
1914.0,Unprovoked,USA,Swimming,M,17,Other Category,Y
1905.0,Unprovoked,SOUTH AFRICA,Swimming,M,26,Other Category,Y
1895.0,Unprovoked,USA,Swimming,M,26,Other Category,Y
1895.0,Unprovoked,AUSTRALIA,Swimming,M,13,Other Category,N
1883.0,Unprovoked,AUSTRALIA,Swimming,M,21,Other Category,Y
2023.0,Unprovoked,USA,Swimming,M,60,Other Category,N
2022.0,Unprovoked,AUSTRALIA,Swimming,M,15,Other Category,N
2021.0,Unprovoked,USA,Surfing,M,41,Large Predatory Sharks,N
2018.0,Unprovoked,BAHAMAS,Swimming,M,8,Other Named Sharks,N
2018.0,Unprovoked,BAHAMAS,Swimming,M,12,Large Predatory Sharks,N
2018.0,Provoked,AUSTRALIA,Fishing,M,34,Other Category,N
2017.0,Unprovoked,AUSTRALIA,Surfing,F,17,Large Predatory Sharks,Y
2017.0,Unprovoked,USA,Surfing,M,58,Other Category,N
2016.0,Unprovoked,USA,Surfing,M,36,Other Category,N
2016.0,Unprovoked,USA,Surfing,M,37,Other Category,N
2015.0,Unprovoked,USA,Surfing,M,21,Small Sharks (Size-Based),N
2015.0,Unprovoked,USA,Spearfishing,M,27,Large Predatory Sharks,N
2014.0,Unprovoked,USA,Fishing,F,40,Other Category,N
2013.0,Unprovoked,USA,Surfing,M,50,Other Category,N
2012.0,Unprovoked,USA,Surfing,M,22,Small Sharks (Size-Based),N
2012.0,Unprovoked,USA,Surfing,M,32,Other Category,N
2012.0,Unprovoked,USA,Surfing,M,44,Other Category,N
2012.0,Unprovoked,USA,Swimming,M,6,Large Predatory Sharks,N
2012.0,Unprovoked,USA,Surfing,M,21,Other Category,N
2010.0,Unprovoked,USA,Surfing,M,55,Small Sharks (Size-Based),N
2009.0,Unprovoked,AUSTRALIA,Surfing,M,33,Large Predatory Sharks,N
2008.0,Unprovoked,MEXICO,Surfing,M,21,Large Sharks (Size-Based),Y
2006.0,Unprovoked,USA,Surfing,M,22,Large Predatory Sharks,N
2006.0,Unprovoked,USA,Swimming,F,21,Other Category,N
2005.0,Unprovoked,BRAZIL,Surfing,M,12,Other Category,N
2004.0,Unprovoked,USA,Surfing,M,44,Large Sharks (Size-Based),N
2004.0,Unprovoked,USA,Swimming,M,61,Other Category,N
2002.0,Unprovoked,USA,Swimming,F,15,Large Predatory Sharks,N
2001.0,Unprovoked,USA,Surfing,M,17,Small Sharks (Size-Based),N
2000.0,Unprovoked,AUSTRALIA,Swimming,M,26,Large Sharks (Size-Based),N
1998.0,Unprovoked,SOUTH AFRICA,Surfing,M,18,Large Predatory Sharks,N
1997.0,Unprovoked,USA,Swimming,M,32,Other Category,N
1996.0,Unprovoked,AUSTRALIA,Swimming,F,13,Large Predatory Sharks,N
1995.0,Unprovoked,USA,Surfing,M,39,Large Sharks (Size-Based),N
1995.0,Unprovoked,USA,Swimming,M,23,Other Category,N
1994.0,Unprovoked,USA,Surfing,M,22,Other Category,N
1994.0,Unprovoked,SOUTH AFRICA,Surfing,M,15,Large Predatory Sharks,N
1993.0,Unprovoked,BAHAMAS,Spearfishing,M,51,Large Predatory Sharks,N
1989.0,Unprovoked,USA,Surfing,M,12,Small Sharks (Size-Based),N
1989.0,Unprovoked,USA,Swimming,M,21,Large Sharks (Size-Based),N
1988.0,Unprovoked,USA,Surfing,M,30,Large Sharks (Size-Based),N
1987.0,Unprovoked,USA,Surfing,M,27,Small Sharks (Size-Based),N
1983.0,Unprovoked,USA,Surfing,M,16,Large Sharks (Size-Based),N
1983.0,Unprovoked,BAHAMAS,Spearfishing,M,15,Other Category,Y
1982.0,Unprovoked,USA,Swimming,F,19,Other Category,N
1982.0,Unprovoked,USA,Swimming,M,20,Small Sharks (Size-Based),N
1968.0,Unprovoked,USA,Surfing,M,20,Other Category,N
1966.0,Unprovoked,PAPUA NEW GUINEA,Swimming,F,13,Large Sharks (Size-Based),Y
1963.0,Unprovoked,SOUTH AFRICA,Swimming,M,24,Other Category,N
1962.0,Unprovoked,NEW ZEALAND,Spearfishing,M,44,Other Category,N
1955.0,Unprovoked,AUSTRALIA,Swimming,M,25,Large Predatory Sharks,Y
1953.0,Unprovoked,AUSTRALIA,Spearfishing,M,25,Other Named Sharks,N
1947.0,Unprovoked,AUSTRALIA,Swimming,M,12,Other Category,Y
1942.0,Unprovoked,AUSTRALIA,Swimming,F,28,Large Predatory Sharks,Y
1937.0,Unprovoked,USA,Swimming,M,14,Other Category,Y
1932.0,Unprovoked,AUSTRALIA,Swimming,M,24,Other Named Sharks,N
1901.0,Unprovoked,SOUTH AFRICA,Swimming,M,29,Large Predatory Sharks,Y
1895.0,Unprovoked,AUSTRALIA,Swimming,M,14,Other Category,Y
2023.0,Unprovoked,USA,Swimming,F,15,Large Predatory Sharks,N
2017.0,Unprovoked,BRAZIL,Swimming,M,21,Other Category,N
2016.0,Provoked,AUSTRALIA,Fishing,M,31,Other Category,N
2016.0,Unprovoked,USA,Swimming,F,42,Other Category,N
2016.0,Unprovoked,AUSTRALIA,Surfing,M,22,Other Category,N
2015.0,Unprovoked,USA,Surfing,M,20,Other Category,N
2015.0,Unprovoked,USA,Surfing,M,15,Small Sharks (Size-Based),N
2015.0,Unprovoked,USA,Spearfishing,M,70,Large Predatory Sharks,N
2014.0,Provoked,USA,Fishing,M,33,Other Category,N
2011.0,Unprovoked,SOUTH AFRICA,Spearfishing,M,28,Large Predatory Sharks,Y
2010.0,Unprovoked,USA,Surfing,M,24,Other Category,N
2010.0,Unprovoked,USA,Surfing,M,20,Large Predatory Sharks,N
2009.0,Provoked,USA,Swimming,F,43,Other Named Sharks,N
2008.0,Unprovoked,USA,Surfing,M,24,Other Category,N
2008.0,Unprovoked,MEXICO,Surfing,M,26,Large Predatory Sharks,N
2007.0,Unprovoked,USA,Surfing,M,18,Other Category,N
2006.0,Unprovoked,USA,Surfing,M,54,Other Category,N
2006.0,Unprovoked,SOUTH AFRICA,Spearfishing,M,34,Other Category,N
2005.0,Unprovoked,AUSTRALIA,Spearfishing,M,44,Other Category,N
2004.0,Unprovoked,USA,Surfing,F,20,Other Category,N
2003.0,Unprovoked,USA,Surfing,M,18,Other Category,N
2001.0,Unprovoked,BAHAMAS,Spearfishing,M,43,Large Predatory Sharks,N
1999.0,Unprovoked,NEW ZEALAND,Surfing,M,15,Other Category,N
1999.0,Unprovoked,USA,Swimming,F,51,Large Predatory Sharks,N
1996.0,Unprovoked,USA,Surfing,M,45,Large Predatory Sharks,N
1996.0,Unprovoked,USA,Swimming,M,14,Other Category,N
1994.0,Unprovoked,BRAZIL,Surfing,M,25,Large Sharks (Size-Based),N
1986.0,Unprovoked,SOUTH AFRICA,Surfing,M,23,Large Sharks (Size-Based),N
1985.0,Unprovoked,USA,Surfing,M,25,Other Category,N
1982.0,Unprovoked,USA,Surfing,M,18,Small Sharks (Size-Based),N
1981.0,Unprovoked,USA,Surfing,M,17,Other Category,N
1976.0,Unprovoked,USA,Surfing,M,25,Large Predatory Sharks,N
1975.0,Unprovoked,USA,Surfing,M,17,Other Category,N
1972.0,Unprovoked,NEW ZEALAND,Swimming,M,17,Other Category,N
1971.0,Unprovoked,NEW ZEALAND,Surfing,M,16,Large Predatory Sharks,N
1962.0,Unprovoked,PAPUA NEW GUINEA,Swimming,M,10,Large Predatory Sharks,Y
1961.0,Provoked,SOUTH AFRICA,Fishing,M,44,Large Predatory Sharks,N
1960.0,Unprovoked,SOUTH AFRICA,Swimming,M,25,Large Predatory Sharks,Y
1960.0,Unprovoked,AUSTRALIA,Swimming,M,41,Small Sharks (Size-Based),N
1958.0,Unprovoked,AUSTRALIA,Swimming,M,21,Large Sharks (Size-Based),Y
1955.0,Unprovoked,USA,Spearfishing,M,19,Large Predatory Sharks,N
1954.0,Unprovoked,USA,Swimming,M,35,Large Sharks (Size-Based),N
1940.0,Unprovoked,SOUTH AFRICA,Swimming,M,17,Other Category,Y
1904.0,Unprovoked,NEW ZEALAND,Swimming,M,30,Other Category,Y
2023.0,Unprovoked,USA,Surfing,M,58,Large Predatory Sharks,N
2023.0,Unprovoked,BRAZIL,Swimming,F,15,Other Category,N
2021.0,Provoked,AUSTRALIA,Fishing,M,34,Other Named Sharks,N
2019.0,Provoked,USA,Surfing,M,32,Small Sharks (Size-Based),N
2019.0,Unprovoked,BRAZIL,Surfing,M,31,Other Named Sharks,N
2018.0,Unprovoked,USA,Surfing,M,48,Other Category,N
2018.0,Unprovoked,BAHAMAS,Spearfishing,M,29,Other Category,N
2017.0,Unprovoked,USA,Swimming,F,51,Other Category,N
2016.0,Unprovoked,USA,Surfing,M,36,Large Sharks (Size-Based),N
2016.0,Unprovoked,USA,Surfing,M,16,Other Category,N
2016.0,Unprovoked,USA,Spearfishing,M,26,Large Predatory Sharks,N
2015.0,Unprovoked,USA,Surfing,M,21,Small Sharks (Size-Based),N
2015.0,Provoked,USA,Spearfishing,M,57,Large Predatory Sharks,N
2013.0,Unprovoked,NEW ZEALAND,Swimming,M,46,Large Predatory Sharks,Y
2012.0,Unprovoked,USA,Surfing,M,60,Large Sharks (Size-Based),N
2011.0,Unprovoked,USA,Surfing,M,25,Small Sharks (Size-Based),N
2011.0,Unprovoked,USA,Surfing,M,19,Other Category,N
2009.0,Unprovoked,AUSTRALIA,Surfing,M,39,Other Category,N
2009.0,Unprovoked,AUSTRALIA,Surfing,M,52,Other Category,N
2008.0,Unprovoked,USA,Surfing,M,52,Small Sharks (Size-Based),N
2008.0,Unprovoked,USA,Swimming,F,14,Other Category,N
2007.0,Unprovoked,USA,Surfing,M,22,Small Sharks (Size-Based),N
2007.0,Unprovoked,USA,Surfing,M,51,Other Category,N
2006.0,Unprovoked,USA,Surfing,M,41,Large Predatory Sharks,N
2005.0,Unprovoked,AUSTRALIA,Surfing,M,18,Other Category,N
2004.0,Unprovoked,AUSTRALIA,Surfing,M,59,Large Predatory Sharks,N
2004.0,Unprovoked,AUSTRALIA,Surfing,M,30,Large Sharks (Size-Based),Y
2003.0,Unprovoked,USA,Surfing,M,30,Other Category,N
2002.0,Unprovoked,USA,Surfing,M,24,Large Predatory Sharks,N
2000.0,Unprovoked,USA,Surfing,M,23,Other Category,N
2000.0,Unprovoked,NEW ZEALAND,Surfing,M,12,Other Category,N
1999.0,Unprovoked,USA,Surfing,M,25,Other Category,N
1998.0,Unprovoked,BRAZIL,Surfing,M,22,Large Predatory Sharks,Y
1996.0,Unprovoked,AUSTRALIA,Swimming,M,7,Other Category,N
1993.0,Provoked,AUSTRALIA,Fishing,M,69,Large Predatory Sharks,N
1988.0,Unprovoked,USA,Surfing,M,15,Other Category,N
1988.0,Unprovoked,AUSTRALIA,Surfing,M,15,Other Category,N
1988.0,Unprovoked,USA,Swimming,F,15,Other Category,N
1982.0,Unprovoked,AUSTRALIA,Spearfishing,M,32,Large Predatory Sharks,Y
1978.0,Unprovoked,SOUTH AFRICA,Surfing,M,17,Large Predatory Sharks,N
1976.0,Unprovoked,USA,Spearfishing,M,24,Other Category,N
1969.0,Unprovoked,USA,Surfing,M,16,Large Predatory Sharks,N
1968.0,Watercraft,SOUTH AFRICA,Fishing,M,22,Other Category,N
1964.0,Unprovoked,NEW ZEALAND,Swimming,M,19,Large Predatory Sharks,Y
1962.0,Unprovoked,MEXICO,Swimming,M,20,Other Category,N
1962.0,Provoked,NEW ZEALAND,Swimming,M,15,Other Category,N
1962.0,Unprovoked,PAPUA NEW GUINEA,Spearfishing,M,24,Large Predatory Sharks,N
1959.0,Unprovoked,SOUTH AFRICA,Swimming,M,18,Large Predatory Sharks,N
1937.0,Unprovoked,AUSTRALIA,Swimming,M,25,Large Predatory Sharks,Y
1936.0,Unprovoked,AUSTRALIA,Swimming,M,15,Other Category,Y
1916.0,Unprovoked,USA,Swimming,M,10,Other Category,Y
1908.0,Unprovoked,SOUTH AFRICA,Swimming,M,16,Other Category,Y
1896.0,Unprovoked,USA,Fishing,M,35,Other Category,Y
1880.0,Unprovoked,AUSTRALIA,Swimming,M,12,Large Predatory Sharks,Y
2023.0,Unprovoked,USA,Swimming,M,49,Small Sharks (Size-Based),N
2023.0,Unprovoked,USA,Spearfishing,M,20,Other Category,N
2023.0,Unprovoked,AUSTRALIA,Fishing,M,8,Small Sharks (Size-Based),N
2022.0,Unprovoked,USA,Surfing,M,16,Other Category,N
2021.0,Unprovoked,USA,Spearfishing,F,27,Other Category,N
2021.0,Unprovoked,NEW ZEALAND,Surfing,M,26,Other Category,N
2021.0,Unprovoked,USA,Spearfishing,M,36,Other Category,Y
2021.0,Unprovoked,USA,Swimming,F,68,Other Category,N
2020.0,Unprovoked,USA,Swimming,F,63,Large Predatory Sharks,Y
2019.0,Provoked,USA,Surfing,M,40,Small Sharks (Size-Based),N
2019.0,Unprovoked,USA,Surfing,M,18,Other Category,N
2017.0,Provoked,USA,Fishing,M,34,Small Sharks (Size-Based),N
2017.0,Unprovoked,USA,Surfing,M,17,Other Category,N
2015.0,Unprovoked,USA,Swimming,M,44,Large Predatory Sharks,N
2015.0,Unprovoked,BAHAMAS,Spearfishing,F,23,Other Category,N
2015.0,Unprovoked,AUSTRALIA,Surfing,M,35,Large Sharks (Size-Based),N
2014.0,Unprovoked,USA,Swimming,M,61,Large Sharks (Size-Based),N
2014.0,Unprovoked,USA,Swimming,F,40,Small Sharks (Size-Based),N
2011.0,Unprovoked,USA,Surfing,M,41,Large Predatory Sharks,N
2010.0,Unprovoked,USA,Swimming,M,10,Large Predatory Sharks,N
2009.0,Unprovoked,USA,Surfing,F,27,Other Category,N
2008.0,Unprovoked,USA,Surfing,M,40,Large Predatory Sharks,N
2008.0,Unprovoked,USA,Surfing,M,24,Other Category,N
2008.0,Unprovoked,USA,Swimming,M,66,Large Predatory Sharks,Y
2007.0,Unprovoked,AUSTRALIA,Surfing,F,42,Large Sharks (Size-Based),N
2006.0,Unprovoked,AUSTRALIA,Surfing,M,40,Large Predatory Sharks,N
2006.0,Provoked,USA,Spearfishing,M,15,Large Sharks (Size-Based),N
2005.0,Unprovoked,SOUTH AFRICA,Surfing,M,32,Large Sharks (Size-Based),N
2004.0,Unprovoked,SOUTH AFRICA,Surfing,M,16,Large Predatory Sharks,N
2003.0,Unprovoked,USA,Surfing,M,17,Other Category,N
2003.0,Unprovoked,USA,Surfing,M,17,Other Category,N
2003.0,Unprovoked,USA,Swimming,M,51,Other Category,N
2003.0,Unprovoked,USA,Surfing,M,50,Small Sharks (Size-Based),N
2002.0,Unprovoked,USA,Swimming,F,34,Large Sharks (Size-Based),N
2002.0,Unprovoked,USA,Swimming,F,29,Other Category,N
2001.0,Unprovoked,USA,Swimming,M,10,Large Predatory Sharks,Y
1998.0,Unprovoked,BAHAMAS,Spearfishing,M,28,Large Sharks (Size-Based),N
1995.0,Unprovoked,USA,Surfing,M,17,Other Category,N
1995.0,Unprovoked,USA,Surfing,M,14,Small Sharks (Size-Based),N
1994.0,Unprovoked,SOUTH AFRICA,Swimming,M,33,Large Sharks (Size-Based),N
1991.0,Unprovoked,USA,Surfing,M,38,Large Predatory Sharks,N
1989.0,Unprovoked,USA,Surfing,M,16,Other Category,N
1988.0,Unprovoked,USA,Surfing,M,21,Small Sharks (Size-Based),N
1988.0,Unprovoked,USA,Surfing,M,27,Large Predatory Sharks,N
1986.0,Unprovoked,USA,Surfing,M,23,Other Category,N
1982.0,Unprovoked,SOUTH AFRICA,Swimming,M,20,Other Named Sharks,N
1980.0,Provoked,SOUTH AFRICA,Fishing,M,61,Large Predatory Sharks,N
1975.0,Unprovoked,SOUTH AFRICA,Surfing,M,19,Large Predatory Sharks,N
1974.0,Unprovoked,SOUTH AFRICA,Spearfishing,M,22,Other Named Sharks,N
1968.0,Unprovoked,BAHAMAS,Spearfishing,M,17,Large Sharks (Size-Based),N
1966.0,Unprovoked,AUSTRALIA,Spearfishing,M,29,Other Category,N
1960.0,Unprovoked,USA,Swimming,M,24,Other Category,N
1960.0,Unprovoked,USA,Swimming,F,16,Large Predatory Sharks,N
1943.0,Unprovoked,SOUTH AFRICA,Swimming,M,31,Other Category,Y
1892.0,Provoked,AUSTRALIA,Fishing,M,21,Large Sharks (Size-Based),N
2023.0,Unprovoked,USA,Surfing,F,15,Other Category,N
2021.0,Unprovoked,USA,Surfing,M,35,Other Category,N
2021.0,Unprovoked,AUSTRALIA,Surfing,M,25,Other Category,N
2020.0,Unprovoked,USA,Swimming,M,14,Other Category,N
2019.0,Unprovoked,USA,Surfing,M,20,Other Category,N
2019.0,Unprovoked,AUSTRALIA,Surfing,M,29,Large Predatory Sharks,N
2019.0,Unprovoked,USA,Surfing,M,16,Large Sharks (Size-Based),N
2018.0,Unprovoked,AUSTRALIA,Surfing,M,42,Small Sharks (Size-Based),N
2018.0,Watercraft,USA,Fishing,M,55,Large Predatory Sharks,N
2018.0,Unprovoked,USA,Swimming,M,61,Large Predatory Sharks,N
2017.0,Unprovoked,USA,Surfing,M,17,Other Category,N
2016.0,Unprovoked,AUSTRALIA,Surfing,M,25,Other Category,N
2015.0,Unprovoked,SOUTH AFRICA,Surfing,M,34,Large Predatory Sharks,N
2015.0,Unprovoked,USA,Swimming,M,18,Large Predatory Sharks,N
2014.0,Unprovoked,USA,Surfing,M,44,Other Category,N
2012.0,Unprovoked,AUSTRALIA,Surfing,M,48,Large Predatory Sharks,N
2012.0,Unprovoked,AUSTRALIA,Surfing,M,28,Large Sharks (Size-Based),N
2011.0,Unprovoked,BRAZIL,Surfing,M,21,Other Category,N
2008.0,Unprovoked,AUSTRALIA,Swimming,M,37,Large Predatory Sharks,N
2007.0,Unprovoked,BAHAMAS,Spearfishing,F,48,Other Category,N
2007.0,Unprovoked,USA,Surfing,M,16,Small Sharks (Size-Based),N
2007.0,Unprovoked,USA,Surfing,M,20,Other Category,N
2007.0,Unprovoked,USA,Surfing,F,21,Small Sharks (Size-Based),N
2007.0,Unprovoked,AUSTRALIA,Swimming,F,59,Large Sharks (Size-Based),N
2006.0,Unprovoked,USA,Surfing,M,31,Other Category,N
2005.0,Unprovoked,USA,Surfing,M,25,Other Category,N
2005.0,Unprovoked,USA,Surfing,M,47,Large Predatory Sharks,N
2003.0,Unprovoked,USA,Surfing,M,21,Other Category,N
2003.0,Unprovoked,BAHAMAS,Spearfishing,M,39,Large Predatory Sharks,N
2003.0,Unprovoked,USA,Surfing,M,23,Large Sharks (Size-Based),N
2001.0,Unprovoked,USA,Swimming,F,23,Large Predatory Sharks,N
2000.0,Unprovoked,AUSTRALIA,Swimming,M,52,Large Predatory Sharks,N
2000.0,Unprovoked,USA,Swimming,M,69,Other Category,N
2000.0,Unprovoked,AUSTRALIA,Surfing,M,26,Large Sharks (Size-Based),N
1999.0,Unprovoked,NEW ZEALAND,Swimming,F,13,Other Category,N
1999.0,Unprovoked,USA,Surfing,M,21,Small Sharks (Size-Based),N
1998.0,Unprovoked,SOUTH AFRICA,Surfing,M,16,Small Sharks (Size-Based),N
1995.0,Unprovoked,USA,Swimming,F,19,Other Category,N
1991.0,Unprovoked,USA,Swimming,M,22,Other Category,N
1990.0,Unprovoked,USA,Surfing,M,50,Other Category,N
1989.0,Unprovoked,USA,Swimming,M,19,Large Sharks (Size-Based),N
1983.0,Provoked,USA,Fishing,M,43,Other Category,N
1982.0,Unprovoked,SOUTH AFRICA,Swimming,F,18,Other Category,N
1981.0,Unprovoked,USA,Surfing,M,28,Other Category,N
1979.0,Unprovoked,SOUTH AFRICA,Swimming,M,18,Other Category,N
1979.0,Unprovoked,USA,Surfing,M,27,Other Category,N
1976.0,Unprovoked,USA,Surfing,M,19,Large Predatory Sharks,N
1969.0,Provoked,AUSTRALIA,Fishing,M,49,Other Category,N
1968.0,Unprovoked,NEW ZEALAND,Surfing,M,17,Large Predatory Sharks,N
1966.0,Unprovoked,USA,Fishing,M,14,Other Category,N
1963.0,Unprovoked,USA,Surfing,M,15,Large Sharks (Size-Based),N
1961.0,Unprovoked,USA,Spearfishing,M,22,Large Predatory Sharks,N
1956.0,Unprovoked,USA,Swimming,M,7,Other Category,N
1954.0,Unprovoked,SOUTH AFRICA,Swimming,M,16,Other Category,N
1954.0,Unprovoked,PAPUA NEW GUINEA,Swimming,M,12,Other Category,N
1947.0,Unprovoked,USA,Fishing,M,35,Other Category,N
